text,category,gender,sleeve,season,fit,color,price
"Áo thun unisex không tay màu xám, chất liệu thoáng mát, phù hợp cho mùa hè, giá khoảng 300 nghìn.",Áo thun,unisex,không tay,mùa hè,regular,màu xám,300 nghìn
"Váy maxi nam tay dài màu tím, chất liệu thoáng mát, phù hợp cho mùa thu, giá khoảng dưới 200k.",Váy maxi,nam,tay dài,mùa thu,slim,màu tím,dưới 200k
"Váy nữ không tay hoa nhí, chất liệu thoáng mát, phù hợp cho quanh năm, giá khoảng 500 nghìn.",Váy,nữ,không tay,quanh năm,slim,hoa nhí,500 nghìn
"Váy unisex không tay màu đỏ, chất liệu thoáng mát, phù hợp cho mùa thu, giá khoảng hơn 1 triệu.",Váy,unisex,không tay,mùa thu,dáng rộng,màu đỏ,hơn 1 triệu
"Quần jeans unisex kiểu ôm màu tím, thiết kế hợp xu hướng, dùng được quanh năm, giá 400 nghìn.",Quần jeans,unisex,không tay,quanh năm,ôm,màu tím,400 nghìn
"Chiếc Áo khoác dành cho unisex kiểu không tay, màu màu xanh, mặc mùa hè rất thoải mái, giá 700 nghìn.",Áo khoác,unisex,không tay,mùa hè,dáng suông,màu xanh,700 nghìn
"Chiếc Áo thun dành cho nữ kiểu tay lửng, màu màu xám, mặc quanh năm rất thoải mái, giá hơn 1 triệu.",Áo thun,nữ,tay lửng,quanh năm,slim,màu xám,hơn 1 triệu
"Áo hoodie nam kiểu ôm màu tím, thiết kế hợp xu hướng, dùng được quanh năm, giá 1 triệu rưỡi.",Áo hoodie,nam,không tay,quanh năm,ôm,màu tím,1 triệu rưỡi
"Chiếc Áo khoác dành cho unisex kiểu tay ngắn, màu màu be, mặc mùa hè rất thoải mái, giá 300 nghìn.",Áo khoác,unisex,tay ngắn,mùa hè,dáng rộng,màu be,300 nghìn
"Chiếc Quần short dành cho nam kiểu tay dài, màu màu xám, mặc quanh năm rất thoải mái, giá 800 nghìn.",Quần short,nam,tay dài,quanh năm,rộng,màu xám,800 nghìn
"Áo hoodie unisex không tay regular màu be, dễ phối đồ, hợp cho mùa hè, chỉ 400 nghìn.",Áo hoodie,unisex,không tay,mùa hè,regular,màu be,400 nghìn
"Áo khoác nữ tay lửng dáng suông hoa nhí, dễ phối đồ, hợp cho mùa hè, chỉ 1 triệu rưỡi.",Áo khoác,nữ,tay lửng,mùa hè,dáng suông,hoa nhí,1 triệu rưỡi
"Váy unisex tay lửng màu vàng, chất liệu thoáng mát, phù hợp cho mùa đông, giá khoảng dưới 200k.",Váy,unisex,tay lửng,mùa đông,ôm,màu vàng,dưới 200k
"Váy maxi nữ kiểu slim màu tím, thiết kế hợp xu hướng, dùng được quanh năm, giá 500 nghìn.",Váy maxi,nữ,tay dài,quanh năm,slim,màu tím,500 nghìn
"Áo thun unisex tay dài dáng suông màu đỏ, dễ phối đồ, hợp cho quanh năm, chỉ 200 nghìn.",Áo thun,unisex,tay dài,quanh năm,dáng suông,màu đỏ,200 nghìn
"Chiếc Áo hoodie dành cho unisex kiểu tay lửng, màu màu đen, mặc mùa hè rất thoải mái, giá dưới 200k.",Áo hoodie,unisex,tay lửng,mùa hè,regular,màu đen,dưới 200k
"Mẫu Quần jeans nữ tay lửng, dáng suông, hoa nhí, phong cách thời trang mùa xuân, giá bán hơn 1 triệu.",Quần jeans,nữ,tay lửng,mùa xuân,dáng suông,hoa nhí,hơn 1 triệu
"Váy unisex kiểu ôm màu đen, thiết kế hợp xu hướng, dùng được mùa thu, giá 500 nghìn.",Váy,unisex,tay dài,mùa thu,ôm,màu đen,500 nghìn
"Quần jeans unisex kiểu dáng suông màu vàng, thiết kế hợp xu hướng, dùng được quanh năm, giá 400 nghìn.",Quần jeans,unisex,không tay,quanh năm,dáng suông,màu vàng,400 nghìn
"Váy nữ tay ngắn màu be, chất liệu thoáng mát, phù hợp cho mùa xuân, giá khoảng 500 nghìn.",Váy,nữ,tay ngắn,mùa xuân,regular,màu be,500 nghìn
"Quần short nam không tay màu trắng, chất liệu thoáng mát, phù hợp cho mùa hè, giá khoảng 400 nghìn.",Quần short,nam,không tay,mùa hè,rộng,màu trắng,400 nghìn
"Quần jeans unisex tay dài màu xám, chất liệu thoáng mát, phù hợp cho mùa thu, giá khoảng 700 nghìn.",Quần jeans,unisex,tay dài,mùa thu,dáng rộng,màu xám,700 nghìn
"Áo sơ mi unisex kiểu dáng suông màu xám, thiết kế hợp xu hướng, dùng được mùa đông, giá 200 nghìn.",Áo sơ mi,unisex,tay ngắn,mùa đông,dáng suông,màu xám,200 nghìn
"Váy maxi nam tay dài dáng suông hoa nhí, dễ phối đồ, hợp cho quanh năm, chỉ 1 triệu.",Váy maxi,nam,tay dài,quanh năm,dáng suông,hoa nhí,1 triệu
"Váy maxi nam không tay màu trắng, chất liệu thoáng mát, phù hợp cho quanh năm, giá khoảng hơn 1 triệu.",Váy maxi,nam,không tay,quanh năm,dáng suông,màu trắng,hơn 1 triệu
"Mẫu Áo hoodie nam không tay, dáng rộng, màu be, phong cách thời trang mùa đông, giá bán 500 nghìn.",Áo hoodie,nam,không tay,mùa đông,dáng rộng,màu be,500 nghìn
"Mẫu Áo hoodie unisex không tay, rộng, màu xám, phong cách thời trang mùa hè, giá bán hơn 1 triệu.",Áo hoodie,unisex,không tay,mùa hè,rộng,màu xám,hơn 1 triệu
"Quần short nữ tay dài regular màu tím, dễ phối đồ, hợp cho mùa thu, chỉ 300 nghìn.",Quần short,nữ,tay dài,mùa thu,regular,màu tím,300 nghìn
"Váy maxi unisex tay lửng màu trắng, chất liệu thoáng mát, phù hợp cho mùa thu, giá khoảng 800 nghìn.",Váy maxi,unisex,tay lửng,mùa thu,dáng rộng,màu trắng,800 nghìn
"Mẫu Váy maxi nữ không tay, ôm, màu đen, phong cách thời trang mùa đông, giá bán 1 triệu rưỡi.",Váy maxi,nữ,không tay,mùa đông,ôm,màu đen,1 triệu rưỡi
"Áo hoodie nam tay ngắn màu tím, chất liệu thoáng mát, phù hợp cho mùa thu, giá khoảng 400 nghìn.",Áo hoodie,nam,tay ngắn,mùa thu,slim,màu tím,400 nghìn
"Mẫu Áo sơ mi nam không tay, dáng suông, hoa nhí, phong cách thời trang mùa thu, giá bán 800 nghìn.",Áo sơ mi,nam,không tay,mùa thu,dáng suông,hoa nhí,800 nghìn
"Quần jeans unisex tay ngắn rộng màu vàng, dễ phối đồ, hợp cho quanh năm, chỉ hơn 600k.",Quần jeans,unisex,tay ngắn,quanh năm,rộng,màu vàng,hơn 600k
"Quần short nam tay lửng ôm màu vàng, dễ phối đồ, hợp cho mùa thu, chỉ 1 triệu rưỡi.",Quần short,nam,tay lửng,mùa thu,ôm,màu vàng,1 triệu rưỡi
"Mẫu Quần jeans unisex tay dài, dáng rộng, màu tím, phong cách thời trang mùa hè, giá bán 300 nghìn.",Quần jeans,unisex,tay dài,mùa hè,dáng rộng,màu tím,300 nghìn
"Váy maxi nam tay lửng dáng rộng màu tím, dễ phối đồ, hợp cho mùa xuân, chỉ 1 triệu rưỡi.",Váy maxi,nam,tay lửng,mùa xuân,dáng rộng,màu tím,1 triệu rưỡi
"Quần short nam tay ngắn slim màu xanh, dễ phối đồ, hợp cho mùa xuân, chỉ 500 nghìn.",Quần short,nam,tay ngắn,mùa xuân,slim,màu xanh,500 nghìn
"Áo hoodie nữ tay ngắn màu đỏ, chất liệu thoáng mát, phù hợp cho quanh năm, giá khoảng 800 nghìn.",Áo hoodie,nữ,tay ngắn,quanh năm,regular,màu đỏ,800 nghìn
"Váy nữ kiểu rộng hoa nhí, thiết kế hợp xu hướng, dùng được mùa xuân, giá 400 nghìn.",Váy,nữ,tay ngắn,mùa xuân,rộng,hoa nhí,400 nghìn
"Mẫu Quần jeans nữ không tay, ôm, màu trắng, phong cách thời trang mùa thu, giá bán 400 nghìn.",Quần jeans,nữ,không tay,mùa thu,ôm,màu trắng,400 nghìn
"Áo khoác unisex kiểu slim màu be, thiết kế hợp xu hướng, dùng được mùa thu, giá 1 triệu.",Áo khoác,unisex,tay lửng,mùa thu,slim,màu be,1 triệu
"Quần jeans nữ tay ngắn màu hồng, chất liệu thoáng mát, phù hợp cho mùa đông, giá khoảng hơn 600k.",Quần jeans,nữ,tay ngắn,mùa đông,dáng suông,màu hồng,hơn 600k
"Mẫu Áo khoác nữ tay dài, rộng, màu vàng, phong cách thời trang mùa hè, giá bán 500 nghìn.",Áo khoác,nữ,tay dài,mùa hè,rộng,màu vàng,500 nghìn
"Áo sơ mi unisex không tay màu đen, chất liệu thoáng mát, phù hợp cho mùa đông, giá khoảng hơn 600k.",Áo sơ mi,unisex,không tay,mùa đông,dáng rộng,màu đen,hơn 600k
"Váy nữ tay dài regular màu be, dễ phối đồ, hợp cho mùa xuân, chỉ 300 nghìn.",Váy,nữ,tay dài,mùa xuân,regular,màu be,300 nghìn
"Quần short nam kiểu regular màu đỏ, thiết kế hợp xu hướng, dùng được mùa xuân, giá 200 nghìn.",Quần short,nam,tay dài,mùa xuân,regular,màu đỏ,200 nghìn
"Mẫu Quần short unisex tay ngắn, dáng suông, màu xanh, phong cách thời trang mùa thu, giá bán 300 nghìn.",Quần short,unisex,tay ngắn,mùa thu,dáng suông,màu xanh,300 nghìn
"Chiếc Áo thun dành cho nam kiểu không tay, màu màu vàng, mặc mùa xuân rất thoải mái, giá 400 nghìn.",Áo thun,nam,không tay,mùa xuân,regular,màu vàng,400 nghìn
"Váy maxi unisex kiểu ôm màu xám, thiết kế hợp xu hướng, dùng được mùa thu, giá 200 nghìn.",Váy maxi,unisex,tay lửng,mùa thu,ôm,màu xám,200 nghìn
"Quần jeans nữ tay ngắn regular màu tím, dễ phối đồ, hợp cho mùa xuân, chỉ hơn 600k.",Quần jeans,nữ,tay ngắn,mùa xuân,regular,màu tím,hơn 600k
"Áo thun nam tay lửng màu đỏ, chất liệu thoáng mát, phù hợp cho mùa xuân, giá khoảng hơn 600k.",Áo thun,nam,tay lửng,mùa xuân,regular,màu đỏ,hơn 600k
"Áo sơ mi nữ không tay regular màu xanh, dễ phối đồ, hợp cho mùa thu, chỉ 300 nghìn.",Áo sơ mi,nữ,không tay,mùa thu,regular,màu xanh,300 nghìn
"Áo sơ mi nữ tay ngắn màu trắng, chất liệu thoáng mát, phù hợp cho mùa hè, giá khoảng 1 triệu.",Áo sơ mi,nữ,tay ngắn,mùa hè,rộng,màu trắng,1 triệu
"Váy maxi unisex tay ngắn màu tím, chất liệu thoáng mát, phù hợp cho quanh năm, giá khoảng 300 nghìn.",Váy maxi,unisex,tay ngắn,quanh năm,regular,màu tím,300 nghìn
"Mẫu Áo hoodie unisex tay ngắn, rộng, màu hồng, phong cách thời trang mùa xuân, giá bán 200 nghìn.",Áo hoodie,unisex,tay ngắn,mùa xuân,rộng,màu hồng,200 nghìn
"Váy maxi nữ tay dài màu hồng, chất liệu thoáng mát, phù hợp cho mùa đông, giá khoảng 200 nghìn.",Váy maxi,nữ,tay dài,mùa đông,dáng suông,màu hồng,200 nghìn
"Áo sơ mi unisex tay dài màu xanh, chất liệu thoáng mát, phù hợp cho quanh năm, giá khoảng dưới 200k.",Áo sơ mi,unisex,tay dài,quanh năm,dáng suông,màu xanh,dưới 200k
"Áo sơ mi unisex không tay dáng suông màu hồng, dễ phối đồ, hợp cho mùa thu, chỉ 1 triệu.",Áo sơ mi,unisex,không tay,mùa thu,dáng suông,màu hồng,1 triệu
"Áo khoác nam tay lửng rộng màu hồng, dễ phối đồ, hợp cho quanh năm, chỉ 300 nghìn.",Áo khoác,nam,tay lửng,quanh năm,rộng,màu hồng,300 nghìn
"Quần short nam không tay dáng suông màu hồng, dễ phối đồ, hợp cho mùa đông, chỉ hơn 1 triệu.",Quần short,nam,không tay,mùa đông,dáng suông,màu hồng,hơn 1 triệu
"Váy maxi nam tay lửng màu xám, chất liệu thoáng mát, phù hợp cho mùa thu, giá khoảng 1 triệu.",Váy maxi,nam,tay lửng,mùa thu,dáng rộng,màu xám,1 triệu
"Mẫu Áo sơ mi unisex tay ngắn, dáng rộng, màu trắng, phong cách thời trang mùa đông, giá bán 200 nghìn.",Áo sơ mi,unisex,tay ngắn,mùa đông,dáng rộng,màu trắng,200 nghìn
"Áo hoodie nam tay dài regular màu trắng, dễ phối đồ, hợp cho mùa xuân, chỉ hơn 1 triệu.",Áo hoodie,nam,tay dài,mùa xuân,regular,màu trắng,hơn 1 triệu
"Chiếc Áo thun dành cho nam kiểu tay ngắn, màu màu vàng, mặc quanh năm rất thoải mái, giá 1 triệu.",Áo thun,nam,tay ngắn,quanh năm,dáng suông,màu vàng,1 triệu
"Váy maxi unisex tay ngắn dáng rộng màu vàng, dễ phối đồ, hợp cho mùa đông, chỉ hơn 600k.",Váy maxi,unisex,tay ngắn,mùa đông,dáng rộng,màu vàng,hơn 600k
"Váy maxi unisex kiểu dáng rộng màu trắng, thiết kế hợp xu hướng, dùng được mùa xuân, giá 300 nghìn.",Váy maxi,unisex,tay dài,mùa xuân,dáng rộng,màu trắng,300 nghìn
"Mẫu Áo thun nam tay lửng, regular, màu đen, phong cách thời trang mùa hè, giá bán 500 nghìn.",Áo thun,nam,tay lửng,mùa hè,regular,màu đen,500 nghìn
"Chiếc Áo sơ mi dành cho nam kiểu tay ngắn, màu màu đen, mặc mùa hè rất thoải mái, giá 500 nghìn.",Áo sơ mi,nam,tay ngắn,mùa hè,rộng,màu đen,500 nghìn
"Áo thun nữ kiểu dáng rộng màu be, thiết kế hợp xu hướng, dùng được mùa xuân, giá hơn 600k.",Áo thun,nữ,tay lửng,mùa xuân,dáng rộng,màu be,hơn 600k
"Quần short nam tay ngắn màu xanh, chất liệu thoáng mát, phù hợp cho mùa đông, giá khoảng 1 triệu.",Quần short,nam,tay ngắn,mùa đông,regular,màu xanh,1 triệu
"Quần jeans nam tay ngắn slim màu đen, dễ phối đồ, hợp cho quanh năm, chỉ 1 triệu.",Quần jeans,nam,tay ngắn,quanh năm,slim,màu đen,1 triệu
"Áo khoác nam kiểu dáng suông màu be, thiết kế hợp xu hướng, dùng được mùa xuân, giá 300 nghìn.",Áo khoác,nam,tay lửng,mùa xuân,dáng suông,màu be,300 nghìn
"Áo sơ mi nam tay dài regular màu trắng, dễ phối đồ, hợp cho mùa đông, chỉ 200 nghìn.",Áo sơ mi,nam,tay dài,mùa đông,regular,màu trắng,200 nghìn
"Mẫu Quần jeans nam tay lửng, ôm, màu trắng, phong cách thời trang mùa hè, giá bán 300 nghìn.",Quần jeans,nam,tay lửng,mùa hè,ôm,màu trắng,300 nghìn
"Váy maxi nữ tay ngắn màu đen, chất liệu thoáng mát, phù hợp cho mùa xuân, giá khoảng 1 triệu.",Váy maxi,nữ,tay ngắn,mùa xuân,ôm,màu đen,1 triệu
"Quần short nữ tay dài slim màu xám, dễ phối đồ, hợp cho mùa hè, chỉ hơn 1 triệu.",Quần short,nữ,tay dài,mùa hè,slim,màu xám,hơn 1 triệu
"Áo thun nữ kiểu regular màu đỏ, thiết kế hợp xu hướng, dùng được mùa đông, giá 500 nghìn.",Áo thun,nữ,không tay,mùa đông,regular,màu đỏ,500 nghìn
"Váy nữ kiểu slim màu vàng, thiết kế hợp xu hướng, dùng được mùa hè, giá 1 triệu.",Váy,nữ,không tay,mùa hè,slim,màu vàng,1 triệu
"Áo thun unisex kiểu dáng rộng màu đỏ, thiết kế hợp xu hướng, dùng được mùa hè, giá 300 nghìn.",Áo thun,unisex,tay lửng,mùa hè,dáng rộng,màu đỏ,300 nghìn
"Váy nữ kiểu dáng rộng màu vàng, thiết kế hợp xu hướng, dùng được mùa xuân, giá 800 nghìn.",Váy,nữ,không tay,mùa xuân,dáng rộng,màu vàng,800 nghìn
"Chiếc Áo sơ mi dành cho nữ kiểu tay dài, màu màu xám, mặc mùa đông rất thoải mái, giá 300 nghìn.",Áo sơ mi,nữ,tay dài,mùa đông,rộng,màu xám,300 nghìn
"Áo sơ mi nữ kiểu regular màu xám, thiết kế hợp xu hướng, dùng được mùa hè, giá 500 nghìn.",Áo sơ mi,nữ,tay lửng,mùa hè,regular,màu xám,500 nghìn
"Chiếc Quần short dành cho nam kiểu không tay, màu màu tím, mặc mùa đông rất thoải mái, giá 1 triệu rưỡi.",Quần short,nam,không tay,mùa đông,dáng rộng,màu tím,1 triệu rưỡi
"Áo khoác unisex tay ngắn màu xám, chất liệu thoáng mát, phù hợp cho mùa thu, giá khoảng 200 nghìn.",Áo khoác,unisex,tay ngắn,mùa thu,ôm,màu xám,200 nghìn
"Áo hoodie nam tay ngắn regular màu đỏ, dễ phối đồ, hợp cho mùa thu, chỉ 1 triệu.",Áo hoodie,nam,tay ngắn,mùa thu,regular,màu đỏ,1 triệu
"Quần jeans nam kiểu dáng rộng màu vàng, thiết kế hợp xu hướng, dùng được mùa hè, giá 500 nghìn.",Quần jeans,nam,tay ngắn,mùa hè,dáng rộng,màu vàng,500 nghìn
"Váy nam kiểu ôm màu đỏ, thiết kế hợp xu hướng, dùng được quanh năm, giá 300 nghìn.",Váy,nam,tay lửng,quanh năm,ôm,màu đỏ,300 nghìn
"Mẫu Áo hoodie unisex tay dài, regular, màu trắng, phong cách thời trang quanh năm, giá bán hơn 1 triệu.",Áo hoodie,unisex,tay dài,quanh năm,regular,màu trắng,hơn 1 triệu
"Mẫu Áo thun unisex tay ngắn, ôm, màu đỏ, phong cách thời trang mùa đông, giá bán 700 nghìn.",Áo thun,unisex,tay ngắn,mùa đông,ôm,màu đỏ,700 nghìn
"Váy nam kiểu ôm màu đỏ, thiết kế hợp xu hướng, dùng được mùa hè, giá 200 nghìn.",Váy,nam,tay lửng,mùa hè,ôm,màu đỏ,200 nghìn
"Áo khoác nam tay ngắn dáng suông màu trắng, dễ phối đồ, hợp cho mùa xuân, chỉ 700 nghìn.",Áo khoác,nam,tay ngắn,mùa xuân,dáng suông,màu trắng,700 nghìn
"Quần short unisex không tay màu trắng, chất liệu thoáng mát, phù hợp cho mùa xuân, giá khoảng 1 triệu.",Quần short,unisex,không tay,mùa xuân,ôm,màu trắng,1 triệu
"Mẫu Quần jeans nữ tay ngắn, rộng, màu đỏ, phong cách thời trang mùa đông, giá bán 800 nghìn.",Quần jeans,nữ,tay ngắn,mùa đông,rộng,màu đỏ,800 nghìn
"Váy unisex kiểu regular màu vàng, thiết kế hợp xu hướng, dùng được mùa thu, giá 1 triệu rưỡi.",Váy,unisex,không tay,mùa thu,regular,màu vàng,1 triệu rưỡi
"Áo sơ mi unisex kiểu regular màu trắng, thiết kế hợp xu hướng, dùng được mùa đông, giá 300 nghìn.",Áo sơ mi,unisex,không tay,mùa đông,regular,màu trắng,300 nghìn
"Mẫu Quần jeans unisex tay dài, ôm, màu trắng, phong cách thời trang mùa thu, giá bán hơn 600k.",Quần jeans,unisex,tay dài,mùa thu,ôm,màu trắng,hơn 600k
"Quần short nữ tay dài rộng màu trắng, dễ phối đồ, hợp cho mùa đông, chỉ 200 nghìn.",Quần short,nữ,tay dài,mùa đông,rộng,màu trắng,200 nghìn
"Chiếc Áo thun dành cho nam kiểu không tay, màu màu xanh, mặc quanh năm rất thoải mái, giá 800 nghìn.",Áo thun,nam,không tay,quanh năm,dáng suông,màu xanh,800 nghìn
"Váy maxi nữ không tay màu vàng, chất liệu thoáng mát, phù hợp cho mùa xuân, giá khoảng 1 triệu.",Váy maxi,nữ,không tay,mùa xuân,dáng rộng,màu vàng,1 triệu
"Mẫu Váy unisex tay ngắn, dáng rộng, màu đen, phong cách thời trang quanh năm, giá bán hơn 600k.",Váy,unisex,tay ngắn,quanh năm,dáng rộng,màu đen,hơn 600k
"Mẫu Áo khoác nữ tay ngắn, ôm, màu tím, phong cách thời trang mùa xuân, giá bán 1 triệu.",Áo khoác,nữ,tay ngắn,mùa xuân,ôm,màu tím,1 triệu
"Áo thun unisex không tay slim màu xanh, dễ phối đồ, hợp cho mùa thu, chỉ 700 nghìn.",Áo thun,unisex,không tay,mùa thu,slim,màu xanh,700 nghìn
"Chiếc Váy maxi dành cho unisex kiểu tay lửng, màu màu tím, mặc mùa thu rất thoải mái, giá hơn 600k.",Váy maxi,unisex,tay lửng,mùa thu,ôm,màu tím,hơn 600k
"Mẫu Váy nữ tay ngắn, dáng suông, màu hồng, phong cách thời trang quanh năm, giá bán 500 nghìn.",Váy,nữ,tay ngắn,quanh năm,dáng suông,màu hồng,500 nghìn
"Áo sơ mi nữ tay ngắn màu đen, chất liệu thoáng mát, phù hợp cho mùa thu, giá khoảng 400 nghìn.",Áo sơ mi,nữ,tay ngắn,mùa thu,regular,màu đen,400 nghìn
"Chiếc Áo thun dành cho nữ kiểu tay ngắn, màu màu đen, mặc mùa xuân rất thoải mái, giá 1 triệu.",Áo thun,nữ,tay ngắn,mùa xuân,regular,màu đen,1 triệu
"Áo khoác nam tay dài màu xanh, chất liệu thoáng mát, phù hợp cho mùa thu, giá khoảng dưới 200k.",Áo khoác,nam,tay dài,mùa thu,dáng rộng,màu xanh,dưới 200k
"Chiếc Quần jeans dành cho nam kiểu không tay, màu màu hồng, mặc mùa xuân rất thoải mái, giá hơn 600k.",Quần jeans,nam,không tay,mùa xuân,ôm,màu hồng,hơn 600k
"Quần jeans unisex không tay màu tím, chất liệu thoáng mát, phù hợp cho quanh năm, giá khoảng dưới 200k.",Quần jeans,unisex,không tay,quanh năm,ôm,màu tím,dưới 200k
"Áo sơ mi nữ kiểu ôm màu trắng, thiết kế hợp xu hướng, dùng được mùa xuân, giá 700 nghìn.",Áo sơ mi,nữ,tay ngắn,mùa xuân,ôm,màu trắng,700 nghìn
"Mẫu Quần jeans unisex không tay, regular, màu vàng, phong cách thời trang mùa xuân, giá bán 1 triệu.",Quần jeans,unisex,không tay,mùa xuân,regular,màu vàng,1 triệu
"Mẫu Áo thun unisex tay lửng, dáng suông, hoa nhí, phong cách thời trang mùa hè, giá bán 300 nghìn.",Áo thun,unisex,tay lửng,mùa hè,dáng suông,hoa nhí,300 nghìn
"Áo khoác nữ tay ngắn rộng màu be, dễ phối đồ, hợp cho quanh năm, chỉ hơn 1 triệu.",Áo khoác,nữ,tay ngắn,quanh năm,rộng,màu be,hơn 1 triệu
"Quần short nữ tay ngắn slim màu đỏ, dễ phối đồ, hợp cho quanh năm, chỉ 500 nghìn.",Quần short,nữ,tay ngắn,quanh năm,slim,màu đỏ,500 nghìn
"Áo thun nữ tay ngắn slim màu tím, dễ phối đồ, hợp cho quanh năm, chỉ dưới 200k.",Áo thun,nữ,tay ngắn,quanh năm,slim,màu tím,dưới 200k
"Quần short nữ kiểu dáng rộng màu đỏ, thiết kế hợp xu hướng, dùng được quanh năm, giá hơn 600k.",Quần short,nữ,không tay,quanh năm,dáng rộng,màu đỏ,hơn 600k
"Áo khoác nữ không tay slim màu trắng, dễ phối đồ, hợp cho mùa thu, chỉ 1 triệu rưỡi.",Áo khoác,nữ,không tay,mùa thu,slim,màu trắng,1 triệu rưỡi
"Áo hoodie nam kiểu dáng suông màu đỏ, thiết kế hợp xu hướng, dùng được quanh năm, giá 1 triệu.",Áo hoodie,nam,tay lửng,quanh năm,dáng suông,màu đỏ,1 triệu
"Chiếc Áo hoodie dành cho unisex kiểu không tay, màu màu xám, mặc mùa xuân rất thoải mái, giá hơn 600k.",Áo hoodie,unisex,không tay,mùa xuân,dáng rộng,màu xám,hơn 600k
"Quần short unisex không tay màu đỏ, chất liệu thoáng mát, phù hợp cho mùa xuân, giá khoảng hơn 1 triệu.",Quần short,unisex,không tay,mùa xuân,rộng,màu đỏ,hơn 1 triệu
"Chiếc Quần short dành cho unisex kiểu tay ngắn, màu màu trắng, mặc quanh năm rất thoải mái, giá 200 nghìn.",Quần short,unisex,tay ngắn,quanh năm,regular,màu trắng,200 nghìn
"Áo sơ mi nam tay ngắn regular màu trắng, dễ phối đồ, hợp cho mùa thu, chỉ 200 nghìn.",Áo sơ mi,nam,tay ngắn,mùa thu,regular,màu trắng,200 nghìn
"Mẫu Quần short unisex không tay, rộng, màu trắng, phong cách thời trang mùa xuân, giá bán hơn 1 triệu.",Quần short,unisex,không tay,mùa xuân,rộng,màu trắng,hơn 1 triệu
"Áo hoodie nam kiểu ôm màu đen, thiết kế hợp xu hướng, dùng được mùa hè, giá 200 nghìn.",Áo hoodie,nam,tay dài,mùa hè,ôm,màu đen,200 nghìn
"Chiếc Áo sơ mi dành cho nam kiểu tay ngắn, màu màu xám, mặc mùa xuân rất thoải mái, giá hơn 600k.",Áo sơ mi,nam,tay ngắn,mùa xuân,regular,màu xám,hơn 600k
"Chiếc Váy dành cho nữ kiểu không tay, màu màu xám, mặc quanh năm rất thoải mái, giá 400 nghìn.",Váy,nữ,không tay,quanh năm,slim,màu xám,400 nghìn
"Quần jeans nam tay ngắn ôm màu tím, dễ phối đồ, hợp cho mùa hè, chỉ 800 nghìn.",Quần jeans,nam,tay ngắn,mùa hè,ôm,màu tím,800 nghìn
"Mẫu Quần jeans nữ không tay, dáng suông, màu be, phong cách thời trang mùa đông, giá bán 1 triệu rưỡi.",Quần jeans,nữ,không tay,mùa đông,dáng suông,màu be,1 triệu rưỡi
"Áo khoác unisex kiểu rộng màu hồng, thiết kế hợp xu hướng, dùng được mùa hè, giá 1 triệu rưỡi.",Áo khoác,unisex,tay dài,mùa hè,rộng,màu hồng,1 triệu rưỡi
"Váy unisex tay lửng slim hoa nhí, dễ phối đồ, hợp cho quanh năm, chỉ 700 nghìn.",Váy,unisex,tay lửng,quanh năm,slim,hoa nhí,700 nghìn
"Chiếc Váy dành cho nam kiểu tay lửng, màu màu đỏ, mặc quanh năm rất thoải mái, giá 500 nghìn.",Váy,nam,tay lửng,quanh năm,rộng,màu đỏ,500 nghìn
"Áo sơ mi unisex tay ngắn regular màu đen, dễ phối đồ, hợp cho mùa xuân, chỉ 200 nghìn.",Áo sơ mi,unisex,tay ngắn,mùa xuân,regular,màu đen,200 nghìn
"Chiếc Áo thun dành cho nam kiểu tay ngắn, màu màu trắng, mặc mùa đông rất thoải mái, giá 300 nghìn.",Áo thun,nam,tay ngắn,mùa đông,dáng suông,màu trắng,300 nghìn
"Chiếc Váy dành cho nữ kiểu tay ngắn, màu màu vàng, mặc mùa thu rất thoải mái, giá 300 nghìn.",Váy,nữ,tay ngắn,mùa thu,regular,màu vàng,300 nghìn
"Chiếc Áo sơ mi dành cho nam kiểu tay dài, màu màu đỏ, mặc quanh năm rất thoải mái, giá 1 triệu.",Áo sơ mi,nam,tay dài,quanh năm,rộng,màu đỏ,1 triệu
"Mẫu Váy nữ không tay, dáng suông, màu tím, phong cách thời trang quanh năm, giá bán dưới 200k.",Váy,nữ,không tay,quanh năm,dáng suông,màu tím,dưới 200k
"Quần short nữ tay dài regular màu đen, dễ phối đồ, hợp cho mùa xuân, chỉ 400 nghìn.",Quần short,nữ,tay dài,mùa xuân,regular,màu đen,400 nghìn
"Áo khoác unisex kiểu dáng rộng màu đỏ, thiết kế hợp xu hướng, dùng được quanh năm, giá 1 triệu rưỡi.",Áo khoác,unisex,tay lửng,quanh năm,dáng rộng,màu đỏ,1 triệu rưỡi
"Chiếc Áo hoodie dành cho unisex kiểu tay lửng, màu màu xanh, mặc mùa xuân rất thoải mái, giá 300 nghìn.",Áo hoodie,unisex,tay lửng,mùa xuân,dáng rộng,màu xanh,300 nghìn
"Áo khoác nữ kiểu dáng rộng màu xám, thiết kế hợp xu hướng, dùng được mùa xuân, giá 500 nghìn.",Áo khoác,nữ,tay lửng,mùa xuân,dáng rộng,màu xám,500 nghìn
"Quần short unisex tay lửng dáng suông màu đen, dễ phối đồ, hợp cho mùa hè, chỉ 800 nghìn.",Quần short,unisex,tay lửng,mùa hè,dáng suông,màu đen,800 nghìn
"Mẫu Váy nam tay lửng, ôm, màu hồng, phong cách thời trang quanh năm, giá bán 800 nghìn.",Váy,nam,tay lửng,quanh năm,ôm,màu hồng,800 nghìn
